,Date,Price,Open,High,Low,Vol.,Change%
85,2018-11-09,7105.34,7140.68,7140.68,7070.8,672890000,-0.49
86,2018-11-08,7140.68,7117.28,7171.69,7115.01,697800000,0.33
87,2018-11-07,7117.28,7040.68,7136.75,7040.68,698980000,1.09
88,2018-11-06,7040.68,7103.84,7117.5,7027.45,666520000,-0.89
89,2018-11-05,7103.84,7094.12,7140.37,7077.4,570490000,0.14
90,2018-11-02,7094.12,7114.66,7196.39,7094.12,824950000,-0.29
91,2018-11-01,7114.66,7128.1,7165.61,7085.74,1060000000,-0.19
92,2018-10-31,7128.1,7035.85,7161.54,7035.85,923080000,1.31
93,2018-10-30,7035.85,7026.32,7060.06,6983.68,774720000,0.14
94,2018-10-29,7026.32,6939.56,7085.88,6939.56,804710000,1.25
95,2018-10-26,6939.56,7004.1,7004.16,6851.59,803060000,-0.92
96,2018-10-25,7004.1,6962.98,7004.1,6885.99,853930000,0.59
97,2018-10-24,6962.98,6955.21,7049.83,6955.21,797990000,0.11
98,2018-10-23,6955.21,7042.8,7042.8,6928.65,1010000000,-1.24
99,2018-10-22,7042.8,7049.8,7114.12,7042.05,806700000,-0.1
100,2018-10-19,7049.8,7026.99,7070.38,7012.56,800350000,0.32
101,2018-10-18,7026.99,7054.6,7078.76,7026.74,692860000,-0.39
102,2018-10-17,7054.6,7059.4,7089.03,7019.41,707140000,-0.07
103,2018-10-16,7059.4,7029.22,7062.08,6998.93,786100000,0.43
104,2018-10-15,7029.22,6995.91,7038.23,6961.28,674960000,0.48
105,2018-10-12,6995.91,7006.93,7073.99,6994.78,903680000,-0.16
106,2018-10-11,7006.93,7145.74,7145.74,6998.02,1210000000,-1.94
107,2018-10-10,7145.74,7237.59,7242.31,7145.74,1060000000,-1.27
108,2018-10-09,7237.59,7233.33,7247.64,7184.28,789690000,0.06
109,2018-10-08,7233.33,7318.54,7319.84,7233.33,695800000,-1.16
110,2018-10-05,7318.54,7418.34,7421.12,7318.54,758630000,-1.35
111,2018-10-04,7418.34,7510.28,7510.28,7411.31,826760000,-1.22
112,2018-10-03,7510.28,7474.55,7524.06,7474.55,849120000,0.48
113,2018-10-02,7474.55,7495.67,7495.67,7444.8,843120000,-0.28
114,2018-10-01,7495.67,7510.2,7526.2,7466.67,746180000,-0.19
115,2018-09-28,7510.2,7545.44,7548.36,7474.67,943920000,-0.47
116,2018-09-27,7545.44,7511.49,7552.02,7490.94,666220000,0.45
117,2018-09-26,7511.49,7507.56,7522.06,7490.2,693150000,0.05
118,2018-09-25,7507.56,7458.41,7515.94,7455.22,791700000,0.66
119,2018-09-24,7458.41,7490.23,7491.25,7450.53,710210000,-0.42
120,2018-09-21,7490.23,7367.32,7495.26,7367.32,1550000000,1.67
121,2018-09-20,7367.32,7331.12,7368.43,7324.01,891660000,0.49
122,2018-09-19,7331.12,7300.23,7346.11,7279.92,785950000,0.42
123,2018-09-18,7300.23,7302.1,7320.07,7281.98,722030000,-0.03
124,2018-09-17,7302.1,7304.04,7318.77,7267.83,640190000,-0.03
125,2018-09-14,7304.04,7281.57,7323.83,7281.57,595140000,0.31
126,2018-09-13,7281.57,7313.36,7319.57,7275.14,681150000,-0.43
127,2018-09-12,7313.36,7273.54,7325.25,7250.84,698110000,0.55
128,2018-09-11,7273.54,7279.3,7280.48,7220.5,664030000,-0.08
129,2018-09-10,7279.3,7277.7,7307.85,7256.51,717860000,0.02
130,2018-09-07,7277.7,7318.96,7328.3,7227.07,889090000,-0.56
131,2018-09-06,7318.96,7383.28,7397.74,7313.12,743690000,-0.87
132,2018-09-05,7383.28,7457.86,7457.86,7357.98,792990000,-1.0
133,2018-09-04,7457.86,7504.6,7535.12,7437.65,672990000,-0.62
134,2018-09-03,7504.6,7432.42,7516.06,7432.18,468850000,0.97
135,2018-08-31,7432.42,7516.03,7516.46,7428.67,838070000,-1.11
136,2018-08-30,7516.03,7563.21,7563.21,7497.54,642440000,-0.62
137,2018-08-29,7563.21,7617.22,7635.74,7545.08,709980000,-0.71
138,2018-08-28,7617.22,7577.49,7636.72,7577.49,603830000,0.52
139,2018-08-24,7577.49,7563.22,7587.19,7557.67,523570000,0.19
140,2018-08-23,7563.22,7574.24,7602.1,7560.85,592640000,-0.15
141,2018-08-22,7574.24,7565.7,7607.23,7531.24,630160000,0.11
142,2018-08-21,7565.7,7591.26,7601.65,7557.34,560350000,-0.34
143,2018-08-20,7591.26,7558.59,7616.15,7558.59,576840000,0.43
144,2018-08-17,7558.59,7556.38,7577.68,7514.26,621370000,0.03
145,2018-08-16,7556.38,7497.87,7565.18,7497.87,795280000,0.78
146,2018-08-15,7497.87,7611.64,7632.07,7477.05,994260000,-1.49
147,2018-08-14,7611.64,7642.45,7665.24,7599.66,787260000,-0.4
148,2018-08-13,7642.45,7667.01,7667.33,7614.48,612150000,-0.32
149,2018-08-10,7667.01,7741.77,7741.77,7657.72,684690000,-0.97
150,2018-08-09,7741.77,7776.65,7776.77,7714.52,582940000,-0.45
151,2018-08-08,7776.65,7718.48,7790.17,7707.3,621150000,0.75
152,2018-08-07,7718.48,7663.78,7752.08,7663.2,696340000,0.71
153,2018-08-06,7663.78,7659.1,7681.86,7636.6,838430000,0.06
154,2018-08-03,7659.1,7575.93,7665.16,7575.93,670040000,1.1
155,2018-08-02,7575.93,7652.91,7652.91,7549.34,1040000000,-1.01
156,2018-08-01,7652.91,7748.76,7751.1,7634.66,1010000000,-1.24
157,2018-07-31,7748.76,7700.85,7782.9,7695.76,943370000,0.62
158,2018-07-30,7700.85,7701.31,7718.06,7659.91,755660000,-0.01
159,2018-07-27,7701.31,7663.17,7717.22,7663.16,788380000,0.5
160,2018-07-26,7663.17,7658.26,7684.72,7640.94,607060000,0.06
161,2018-07-25,7658.26,7709.05,7710.25,7640.59,698480000,-0.66
162,2018-07-24,7709.05,7655.79,7740.64,7648.59,878890000,0.7
163,2018-07-23,7655.79,7678.79,7678.79,7621.75,591250000,-0.3
164,2018-07-20,7678.79,7683.97,7705.8,7631.66,706250000,-0.07
165,2018-07-19,7683.97,7676.28,7702.85,7660.02,716900000,0.1
166,2018-07-18,7676.28,7626.33,7685.68,7625.75,671520000,0.65
167,2018-07-17,7626.33,7600.45,7641.1,7581.83,746770000,0.34
168,2018-07-16,7600.45,7661.87,7667.71,7564.96,608960000,-0.8
169,2018-07-13,7661.87,7651.33,7716.24,7651.33,592170000,0.14
170,2018-07-12,7651.33,7591.96,7662.96,7591.96,769260000,0.78
171,2018-07-11,7591.96,7692.04,7692.04,7578.18,816820000,-1.3
172,2018-07-10,7692.04,7687.99,7715.07,7677.06,723210000,0.05
173,2018-07-09,7687.99,7617.7,7697.46,7617.7,697510000,0.92
174,2018-07-06,7617.7,7603.22,7631.19,7569.7,684000000,0.19
175,2018-07-05,7603.22,7573.09,7624.82,7572.69,631120000,0.4
176,2018-07-04,7573.09,7593.29,7593.29,7560.81,591920000,-0.27
177,2018-07-03,7593.29,7547.85,7632.12,7544.98,1050000000,0.6
178,2018-07-02,7547.85,7636.93,7636.93,7540.71,802390000,-1.17
